id,restaurant_name,category,esimated_cooking_time,latitude,longitude
R_99988,Restaurant A,BREAKFAST,69.0,13.59705995,100.7454014
R_99983,Restaurant B,BREAKFAST,43.0,13.746108,100.529304
R_99976,Restaurant C,BREAKFAST,70.0,13.99500277,100.6540099
R_99970,Restaurant D,BREAKFAST,70.0,14.04092269,100.6097674
R_99968,Restaurant E,BREAKFAST,20.0,13.71098548,100.4093072
R_99960,Restaurant F,BREAKFAST,45.0,13.83345791,100.579057
R_99951,Restaurant G,BREAKFAST,40.0,13.9115673,100.5516004
R_99942,Restaurant H,BREAKFAST,69.0,13.910023,100.580989
R_99941,Restaurant I,BREAKFAST,41.0,13.79124,100.402094
R_99928,Restaurant J,BREAKFAST,22.0,13.754027,100.486276
R_99927,Restaurant K,BREAKFAST,58.0,13.79167053,100.4180782
R_99926,Restaurant L,BREAKFAST,58.0,13.678664,100.436202
R_99922,Restaurant M,BREAKFAST,47.0,13.722837,100.516839
R_99921,Restaurant N,BREAKFAST,64.0,13.6319296,100.4295889
R_99917,Restaurant O,BREAKFAST,24.0,13.6885627,100.6467045
R_99896,Restaurant P,BREAKFAST,64.0,13.819079,100.654753
R_99893,Restaurant Q,BREAKFAST,55.0,13.714634,100.591701
R_99886,Restaurant R,BREAKFAST,62.0,13.788778,100.514376
R_99877,Restaurant S,BREAKFAST,70.0,13.717463,100.568825
R_99837,Restaurant T,BREAKFAST,57.0,13.71328556,100.5811475
R_99834,Restaurant U,BREAKFAST,57.0,13.7827262,100.536179
R_99832,Restaurant V,BREAKFAST,46.0,13.61127,100.511086
R_99824,Restaurant W,BUBBLE TEA,50.0,13.83392278,100.6630368
R_99791,Restaurant X,BUBBLE TEA,54.0,13.725466,100.641985
R_99788,Restaurant Y,BUBBLE TEA,67.0,13.64980918,100.5965489
R_99776,Restaurant Z,BUBBLE TEA,64.0,13.85851,100.528082
R_99774,Restaurant AA,BUBBLE TEA,54.0,13.76876779,100.6429599
R_99762,Restaurant AB,BUBBLE TEA,68.0,13.73787599,100.5604908
R_99761,Restaurant AC,BUBBLE TEA,63.0,13.876872,100.639787
R_99760,Restaurant AD,BUBBLE TEA,52.0,13.708332,100.54308
R_99737,Restaurant AE,BUBBLE TEA,51.0,13.81242298,100.7787506
R_99727,Restaurant AF,BUBBLE TEA,57.0,13.7291291,100.5298726
R_99721,Restaurant AG,BUBBLE TEA,58.0,13.705005,100.539252
R_99711,Restaurant AH,BUBBLE TEA,62.0,13.659684,100.6306349
R_99691,Restaurant AI,BUBBLE TEA,68.0,13.80992221,100.5960993
R_99688,Restaurant AJ,BUBBLE TEA,54.0,13.8242196,100.6202674
R_99684,Restaurant AK,BUBBLE TEA,53.0,13.78298609,100.4916737
R_99682,Restaurant AL,BUBBLE TEA,57.0,13.785319,100.516313
R_99660,Restaurant AM,BUBBLE TEA,35.0,13.717164,100.568357
R_99658,Restaurant AN,BUBBLE TEA,34.0,13.727337,100.77017
R_99649,Restaurant AO,BUBBLE TEA,51.0,13.749996,100.539405
R_99648,Restaurant AP,BUBBLE TEA,30.0,13.7404451,100.5142775
R_99643,Restaurant AQ,BUBBLE TEA,33.0,13.6935189,100.648164
R_99641,Restaurant AR,BUBBLE TEA,70.0,13.67462,100.406767
R_99634,Restaurant AS,BUBBLE TEA,45.0,14.06596245,100.6118075
R_99631,Restaurant AT,BUBBLE TEA,59.0,13.72318,100.75086
R_99624,Restaurant AU,BUBBLE TEA,62.0,13.79130239,100.4476932
R_99613,Restaurant AV,BUBBLE TEA,52.0,13.752612,100.609714
R_99601,Restaurant AW,BUBBLE TEA,44.0,13.894366,100.557973
R_99595,Restaurant AX,BUBBLE TEA,40.0,13.76913467,100.6061092
R_99592,Restaurant AY,BUBBLE TEA,33.0,13.77549398,100.4659987
R_99587,Restaurant AZ,BUBBLE TEA,35.0,13.754268,100.6126533
R_99564,Restaurant BA,BUBBLE TEA,40.0,13.7770612,100.4847215
R_99545,Restaurant BB,BUBBLE TEA,46.0,13.668433,100.639103
R_99522,Restaurant BC,BUBBLE TEA,35.0,13.727404,100.764653
R_99521,Restaurant BD,BUBBLE TEA,38.0,13.74599062,100.5349003
R_99519,Restaurant BE,BUBBLE TEA,47.0,13.93666199,100.5328464
R_99511,Restaurant BF,BUBBLE TEA,59.0,13.9167683,100.5976997
R_99509,Restaurant BG,BUBBLE TEA,39.0,13.894122,100.638727
R_99502,Restaurant BH,BUBBLE TEA,48.0,13.661221,100.440979
R_99482,Restaurant BI,BUBBLE TEA,46.0,13.753446,100.572209
R_99475,Restaurant BJ,BUBBLE TEA,32.0,13.7269397,100.5099961
R_99474,Restaurant BK,BUBBLE TEA,45.0,13.801288,100.522782
R_99471,Restaurant BL,BUBBLE TEA,36.0,13.746084,100.535487
R_99452,Restaurant BM,BUBBLE TEA,60.0,13.769122,100.642673
R_99448,Restaurant BN,BUBBLE TEA,30.0,13.7288914,100.5099431
R_99446,Restaurant BO,BUBBLE TEA,64.0,13.77503734,100.5445605
R_99441,Restaurant BP,BUBBLE TEA,37.0,13.736085,100.640934
R_99439,Restaurant BQ,BUBBLE TEA,69.0,13.76339921,100.495108
R_99426,Restaurant BR,BUBBLE TEA,58.0,13.85899296,100.647141
R_99422,Restaurant BS,BUBBLE TEA,47.0,13.74418,100.544514
R_99417,Restaurant BT,BUBBLE TEA,62.0,13.77879783,100.5380851
R_99412,Restaurant BU,BUBBLE TEA,41.0,13.993186,100.653279
R_99391,Restaurant BV,BUBBLE TEA,43.0,13.765053,100.4441524
R_99385,Restaurant BW,BUBBLE TEA,34.0,13.907375,100.673069
R_99381,Restaurant BX,BUBBLE TEA,64.0,13.777317,100.484124
R_99376,Restaurant BY,BUBBLE TEA,36.0,13.77251964,100.6095136
R_99359,Restaurant BZ,BUBBLE TEA,69.0,13.726693,100.495844
R_99346,Restaurant CA,BUBBLE TEA,40.0,13.92259424,100.6370432
R_99344,Restaurant CB,BUBBLE TEA,41.0,13.9716832,100.6652996
R_99338,Restaurant CC,BUBBLE TEA,64.0,13.766387,100.471611
R_99330,Restaurant CD,BUBBLE TEA,40.0,13.77752912,100.6479045
R_99312,Restaurant CE,BUBBLE TEA,40.0,13.661238,100.441001
R_99309,Restaurant CF,BUBBLE TEA,56.0,13.7179,100.532713
R_99300,Restaurant CG,BUBBLE TEA,43.0,13.754527,100.646114
R_99294,Restaurant CH,BUBBLE TEA,41.0,13.740163,100.55743
R_99269,Restaurant CI,BUBBLE TEA,64.0,13.8259331,100.6264613
R_99265,Restaurant CJ,BUBBLE TEA,57.0,13.663832,100.439212
R_99250,Restaurant CK,BUBBLE TEA,47.0,13.7892086,100.4705346
R_99249,Restaurant CL,BUBBLE TEA,68.0,13.878101,100.549696
R_99247,Restaurant CM,BUBBLE TEA,31.0,13.699977,100.535088
R_99209,Restaurant CN,BUBBLE TEA,30.0,13.674383,100.7225687
R_99205,Restaurant CO,BUBBLE TEA,33.0,13.708743,100.616841
R_99203,Restaurant CP,BUBBLE TEA,34.0,13.704757,100.529222
R_99201,Restaurant CQ,BUBBLE TEA,61.0,13.77933593,100.5557107
R_99174,Restaurant CR,BUBBLE TEA,31.0,13.7465493,100.5318521
R_99168,Restaurant CS,BUBBLE TEA,60.0,13.7494358,100.5770125
R_99163,Restaurant CT,BUBBLE TEA,31.0,13.746869,100.53935
R_99159,Restaurant CU,BUBBLE TEA,52.0,13.723947,100.486834
R_99155,Restaurant CV,BUBBLE TEA,42.0,13.71068016,100.4970461
R_99149,Restaurant CW,BUBBLE TEA,49.0,13.6441,100.423362
R_99148,Restaurant CX,BUBBLE TEA,66.0,13.743959,100.633184
R_99135,Restaurant CY,BUBBLE TEA,39.0,13.88493234,100.6199252
R_99127,Restaurant CZ,BUBBLE TEA,42.0,13.73869239,100.5482257
R_99125,Restaurant DA,BUBBLE TEA,48.0,13.73705053,100.5240139
R_99114,Restaurant DB,BUBBLE TEA,60.0,13.83130109,100.6762675
R_99113,Restaurant DC,BUBBLE TEA,51.0,13.65242324,100.5945147
R_99095,Restaurant DD,BUBBLE TEA,51.0,13.732859,100.530424
R_99093,Restaurant DE,BUBBLE TEA,57.0,13.7953523,100.6509455
R_99088,Restaurant DF,BUBBLE TEA,60.0,13.728919,100.575592
R_99085,Restaurant DG,BUBBLE TEA,64.0,13.63646397,100.6007792
R_99084,Restaurant DH,BUBBLE TEA,34.0,13.79572027,100.6067197
